Observation,A,B,C,D,E
1,0.68,0.11,2.96,1.22,0.41
2,0.12,4.45,3.28,2.22,2.14
3,0.19,0.37,1.92,11.85,0.73
4,2.13,0.32,1.83,6.20,12.00
5,0.33,2.86,3.33,0.64,6.41
6,0.27,4.69,6.35,11.26,1.08
7,3.00,6.03,5.13,5.26,0.76
8,0.99,6.21,1.19,11.54,3.64
9,0.23,0.77,3.80,7.46,12.65
10,1.23,2.92,0.03,2.88,4.78
11,0.68,0.24,3.91,8.00,1.79
12,0.76,1.58,0.59,0.30,8.56
13,0.33,0.91,1.87,7.66,1.42
14,2.28,7.75,8.08,5.87,3.96
15,0.30,0.72,1.53,0.85,13.20
16,2.17,2.54,2.42,2.83,0.60
17,2.81,0.07,0.12,1.88,0.34
18,0.90,0.98,3.99,7.14,7.95
19,1.11,2.12,3.31,0.23,0.74
20,0.31,5.26,10.86,3.50,8.86
21,2.43,2.33,1.96,6.18,1.41
22,0.04,0.29,3.36,0.99,9.93
23,0.37,1.74,0.50,15.32,3.35
24,5.48,0.08,1.05,0.93,7.19
25,0.17,1.42,2.10,0.94,5.91
26,0.82,0.26,0.05,3.43,7.01
27,0.20,0.65,4.84,4.52,11.45
28,0.05,1.33,2.63,28.97,9.48
29,1.95,2.31,1.13,19.13,1.98
30,1.33,0.47,1.67,6.73,7.70
31,0.22,0.70,7.30,3.44,3.47
32,0.93,1.38,0.11,6.77,17.78
33,2.18,0.49,0.53,6.01,6.74
34,2.45,0.22,0.25,2.65,12.15
35,0.15,1.88,1.73,7.07,1.94
36,4.09,5.40,2.71,21.54,5.62
37,0.93,3.25,6.25,1.12,2.89
38,3.69,7.86,0.66,4.27,1.65
39,0.15,0.79,2.67,3.78,3.04
40,0.86,3.21,0.06,3.37,2.63
41,0.01,1.98,3.68,24.18,0.52
42,1.35,3.44,2.21,16.89,5.14
43,0.32,1.41,1.85,2.31,3.37
44,0.12,4.28,3.12,6.67,21.35
45,1.00,7.99,1.14,0.56,1.08
46,0.01,1.58,2.04,4.56,11.71
47,2.22,0.61,0.44,16.24,8.51
48,1.91,0.39,6.88,8.33,21.90
49,0.96,1.88,5.15,2.68,13.58
50,0.88,2.67,0.34,4.94,2.66
51,1.64,1.41,2.67,0.44,2.49
52,0.46,2.93,4.58,7.07,2.15
53,1.05,4.07,0.02,1.15,12.51
54,1.84,9.76,3.01,2.27,0.62
55,4.15,6.86,2.02,5.30,7.52
56,0.05,2.33,4.92,6.01,0.07
57,3.63,1.00,0.04,1.15,4.16
58,1.25,14.50,2.79,2.29,14.53
59,0.02,2.20,6.57,19.42,3.18
60,0.04,9.79,4.88,2.27,0.66
61,0.75,5.02,1.55,34.81,12.25
62,1.11,3.62,4.22,3.31,1.32
63,0.10,0.20,1.22,1.93,10.01
64,1.82,0.22,1.54,9.14,5.43
65,0.11,5.19,0.10,5.50,4.49
66,0.70,0.52,7.63,4.74,7.51
67,0.19,2.07,0.06,2.09,3.87
68,0.50,1.43,2.34,1.87,16.02
69,0.44,1.28,0.60,8.77,6.28
70,1.71,1.56,0.89,10.29,1.98
71,0.78,1.91,0.60,18.58,0.22
72,1.17,7.09,2.32,10.67,0.43
73,1.29,7.51,6.43,0.03,5.62
74,1.90,1.93,0.48,23.08,1.95
75,2.71,1.85,2.48,1.01,7.62
76,0.42,0.61,1.86,8.16,0.31
77,1.35,3.12,0.93,21.31,1.14
78,0.28,3.19,0.39,2.01,3.26
79,0.53,1.10,1.93,5.21,4.06
80,0.68,0.42,0.16,21.33,0.81
81,0.08,1.63,0.90,1.02,16.10
82,1.70,3.96,0.20,9.47,3.60
83,2.43,3.76,5.15,9.75,12.03
84,0.75,0.71,6.53,0.10,2.62
85,1.07,3.95,8.64,3.34,5.30
86,0.24,2.17,11.97,4.12,5.17
87,1.25,0.62,6.63,0.98,25.02
88,0.74,4.14,6.12,2.47,0.42
89,0.20,7.79,0.37,1.53,6.26
90,1.04,0.21,0.60,4.42,2.50
91,0.44,3.64,0.95,7.77,0.54
92,2.03,0.20,0.02,1.21,10.92
93,0.56,4.57,0.77,3.85,3.93
94,1.58,6.13,4.09,3.91,4.97
95,0.34,0.31,2.59,10.21,0.39
96,0.85,1.68,1.38,7.14,0.61
97,1.58,1.83,0.54,0.89,1.22
98,0.44,8.15,0.36,1.87,4.82
99,0.39,2.80,0.04,7.36,20.51
100,0.44,11.69,1.59,12.74,12.19
101,1.65,0.80,3.42,8.27,8.24
102,1.55,1.29,4.12,21.36,1.45
103,0.59,2.80,3.54,4.10,2.46
104,1.53,4.32,1.48,7.77,8.06
105,2.60,0.24,3.15,19.06,0.03
106,0.66,1.99,0.81,2.55,3.13
107,1.18,0.26,2.46,6.09,0.07
108,0.35,2.43,6.20,4.73,2.95
109,1.36,5.24,0.95,7.25,2.13
110,1.58,1.85,9.48,7.26,7.11
111,1.62,2.37,1.00,3.45,1.90
112,0.87,0.58,4.22,2.80,2.96
113,0.62,3.11,2.83,0.49,0.27
114,0.33,1.18,0.51,8.56,8.76
115,0.51,0.69,0.38,10.41,1.28
116,1.68,9.32,1.45,13.88,0.32
117,0.02,2.58,1.06,23.85,1.09
118,0.53,1.65,8.30,2.62,0.01
119,0.06,0.52,2.27,3.43,6.17
120,3.78,4.48,3.57,18.35,10.31
121,0.41,0.51,1.37,1.58,9.39
122,0.51,3.78,2.78,0.75,3.41
123,0.61,7.22,1.26,19.26,9.26
124,0.85,1.88,9.02,21.44,10.07
125,0.17,2.33,0.42,0.60,7.36
126,0.85,9.27,1.87,14.62,4.96
127,3.19,7.01,1.34,2.15,19.60
128,0.57,1.73,5.83,6.51,2.24
129,4.57,1.94,4.86,8.51,2.64
130,2.32,0.09,0.77,5.72,4.37
131,0.20,3.62,2.33,14.14,5.58
132,0.83,2.63,3.24,8.15,6.87
133,1.35,3.76,3.60,7.41,5.52
134,0.21,3.87,12.35,4.19,3.31
135,0.23,4.98,7.08,4.39,4.23
136,0.44,0.71,4.61,7.38,13.03
137,0.01,4.26,1.13,9.23,0.02
138,1.31,5.18,2.65,5.59,4.50
139,1.52,0.72,8.02,2.30,7.80
140,0.29,0.78,0.11,19.98,1.51
141,1.57,3.45,1.76,14.58,6.98
142,0.09,10.66,1.41,7.33,1.23
143,0.12,8.34,0.23,0.13,8.46
144,0.38,7.27,0.73,2.60,4.92
145,4.07,0.13,3.96,4.25,0.60
146,0.32,0.74,3.28,5.26,5.76
147,1.57,0.13,11.26,10.56,3.46
148,0.93,2.19,2.59,4.54,7.85
149,0.85,1.82,3.49,7.11,7.43
150,0.22,3.73,2.14,14.67,2.38
151,0.11,0.21,1.67,6.18,2.10
152,1.06,1.36,0.28,1.48,5.34
153,0.58,0.08,3.93,0.56,3.52
154,0.06,6.88,4.81,1.35,15.05
155,0.99,6.77,0.56,9.14,13.59
156,0.41,0.73,0.23,1.45,0.96
157,3.35,1.73,3.14,2.91,9.22
158,0.04,2.43,4.60,5.72,27.90
159,1.96,4.41,2.13,6.23,2.38
160,0.93,1.37,6.01,0.05,11.14
161,3.94,3.22,7.09,2.62,7.90
162,2.90,1.49,1.06,14.92,0.15
163,0.26,0.04,1.74,0.27,9.40
164,0.74,1.83,0.68,10.97,1.12
165,0.32,0.64,3.20,1.83,1.43
166,0.10,5.87,5.99,2.95,3.18
167,0.40,1.72,2.98,1.90,3.35
168,2.08,3.64,1.35,12.11,3.95
169,1.59,1.90,2.79,1.44,0.67
170,1.26,1.56,3.16,2.99,5.62
171,0.26,6.99,5.69,9.62,0.46
172,2.08,1.19,1.33,6.87,4.72
173,1.11,0.58,1.74,13.21,1.10
174,0.09,2.93,8.69,0.89,17.58
175,0.56,0.15,0.24,4.43,9.90
176,1.17,5.27,1.41,4.84,4.01
177,0.32,1.35,0.44,11.45,16.26
178,1.26,0.09,2.23,5.00,1.10
179,0.17,1.03,0.11,7.42,1.66
180,0.55,1.25,1.25,20.49,2.26
181,1.67,7.58,0.63,3.39,6.63
182,0.85,5.70,1.05,1.95,2.56
183,0.71,1.75,0.72,12.32,0.38
184,0.27,0.85,2.27,10.80,0.55
185,0.22,0.03,1.17,13.01,3.44
186,0.62,1.92,0.99,6.32,0.31
187,0.38,4.65,2.50,0.02,0.10
188,0.47,4.51,4.17,12.31,7.95
189,1.25,0.00,0.78,1.73,1.70
190,0.23,12.60,1.75,5.70,0.84
191,0.11,4.49,2.06,14.01,2.02
192,0.36,0.46,2.93,5.71,5.46
193,0.69,2.40,1.04,4.65,3.44
194,0.10,0.20,2.07,0.78,9.59
195,1.37,1.37,5.81,1.52,6.16
196,0.59,2.33,10.20,11.90,28.13
197,1.23,0.66,1.83,12.43,7.63
198,2.68,0.23,4.07,6.96,4.25
199,0.67,0.08,4.85,3.67,13.93
200,0.01,2.37,0.22,0.69,7.74
201,0.98,3.48,0.98,2.61,9.43
202,2.53,0.55,0.69,3.32,6.53
203,0.36,2.40,0.20,5.85,0.96
204,1.29,1.63,13.40,4.57,4.69
205,0.38,5.03,2.02,5.23,3.15
206,0.15,7.17,1.62,2.58,10.01
207,1.00,3.74,3.88,7.35,4.63
208,0.57,9.61,0.90,1.21,11.41
209,1.08,1.66,0.27,9.22,0.29
210,0.83,4.62,1.17,0.44,9.23
211,1.12,3.37,1.57,3.30,9.69
212,2.39,7.07,0.53,23.40,3.17
213,0.63,3.87,11.47,9.03,8.33
214,2.68,2.75,1.08,4.05,2.98
215,1.83,3.78,1.05,0.96,0.74
216,0.11,4.02,3.46,1.07,1.01
217,1.34,1.37,2.39,5.43,5.56
218,2.03,0.35,0.09,2.15,4.81
219,0.38,3.24,2.06,2.16,13.01
220,0.12,1.67,0.66,15.54,9.05
221,0.08,0.88,1.01,0.32,1.93
222,1.21,0.07,1.42,9.31,1.74
223,0.48,3.38,4.32,16.97,2.58
224,2.23,1.92,1.55,3.12,18.27
225,0.56,3.39,0.41,10.66,1.36
226,0.16,5.32,1.09,16.88,1.58
227,0.52,0.82,0.57,8.14,6.35
228,1.06,0.03,3.06,0.33,1.98
229,0.53,2.65,3.28,1.51,14.11
230,0.01,1.02,1.64,12.39,1.83
231,0.81,8.74,4.30,7.88,1.26
232,2.61,0.16,4.64,5.02,9.37
233,1.32,2.68,0.23,0.64,0.39
234,0.17,4.56,3.36,0.91,2.14
235,1.36,2.18,0.39,2.57,22.60
236,0.72,0.20,1.96,1.19,1.08
237,1.10,1.39,1.64,8.76,16.47
238,0.52,5.49,0.75,14.29,12.10
239,1.97,2.11,3.65,5.01,1.34
240,0.59,8.97,0.28,1.46,3.03
241,0.24,5.34,4.58,1.28,1.03
242,1.77,9.53,0.91,5.71,1.94
243,0.33,6.88,2.26,3.77,8.33
244,0.21,5.65,3.11,0.22,14.93
245,0.08,2.42,0.34,1.88,5.59
246,0.44,6.77,0.37,2.79,20.76
247,0.14,1.21,0.07,1.84,6.73
248,0.83,1.55,0.75,15.37,11.75
249,1.11,4.54,0.80,12.84,0.73
250,0.54,4.41,3.08,4.79,0.16
251,0.38,5.20,4.35,0.52,1.31
252,0.88,0.34,0.26,4.02,21.24
253,0.02,8.00,0.10,2.19,3.55
254,0.28,0.24,3.02,0.56,1.70
255,7.51,5.60,0.99,0.53,7.17
256,0.02,5.30,0.92,19.87,8.73
257,0.20,0.94,1.85,1.30,20.78
258,0.58,0.97,3.72,3.15,1.71
259,0.84,0.97,2.61,16.73,1.03
260,1.88,0.16,2.27,9.76,2.32
261,3.36,1.06,0.46,0.24,2.33
262,0.65,0.83,1.36,3.49,3.44
263,0.35,1.32,0.64,10.81,5.88
264,0.64,3.69,3.54,7.15,0.43
265,0.61,3.54,4.51,17.05,0.28
266,2.89,1.79,2.37,2.92,1.64
267,0.41,4.64,6.93,1.00,11.90
268,0.83,0.23,2.03,3.89,3.20
269,0.33,0.40,3.38,19.01,0.21
270,2.19,2.19,0.81,15.72,5.10
271,0.41,1.30,7.12,0.28,10.28
272,0.43,3.04,1.10,0.12,0.29
273,2.96,9.17,0.26,3.04,0.03
274,0.97,9.92,4.49,3.60,2.27
275,0.39,1.30,0.37,0.40,4.39
276,0.28,6.12,1.85,3.83,2.14
277,4.34,17.71,1.34,7.59,0.04
278,0.06,0.83,1.86,12.85,3.15
279,1.85,1.53,1.71,0.40,2.68
280,0.47,0.99,10.89,3.85,0.87
281,0.17,0.49,0.59,20.91,13.66
282,1.07,0.58,2.65,4.57,2.09
283,0.59,1.53,3.24,8.27,4.06
284,0.19,1.30,0.14,6.41,7.64
285,2.93,6.01,1.80,2.66,1.98
286,1.28,0.70,0.74,1.41,17.19
287,0.87,1.31,0.12,10.20,6.73
288,2.35,0.55,3.86,1.53,1.73
289,0.34,1.59,5.82,12.55,1.10
290,3.31,1.04,0.49,9.42,1.85
291,2.43,1.06,5.95,0.09,22.22
292,1.01,9.70,9.16,7.89,6.35
293,0.58,0.70,0.60,9.21,5.37
294,0.67,1.49,1.64,10.71,13.17
295,2.25,1.94,0.42,0.06,4.77
296,0.91,5.84,0.18,15.54,8.29
297,1.80,24.70,0.71,1.11,0.92
298,1.38,0.37,3.32,3.71,1.60
299,0.85,0.43,9.76,10.21,5.77
300,0.06,1.27,0.25,3.52,0.44
301,0.61,3.18,1.69,10.37,1.74
302,0.36,0.91,4.16,4.79,2.93
303,0.37,1.83,4.26,12.44,2.87
304,2.42,0.76,0.44,4.75,0.27
305,0.25,1.14,2.55,9.51,0.37
306,1.06,2.59,0.48,1.92,1.48
307,0.45,1.53,0.26,14.89,2.63
308,0.94,3.52,1.93,2.94,5.30
309,0.50,0.29,2.19,5.59,1.31
310,0.56,3.95,0.35,4.53,0.92
311,2.12,0.58,4.93,4.43,7.28
312,0.45,1.32,0.79,0.67,8.34
313,0.96,0.75,4.49,4.58,3.89
314,0.46,0.69,5.07,0.69,2.15
315,0.24,2.40,4.65,3.71,2.49
316,1.34,0.04,1.59,0.68,0.56
317,0.14,3.50,6.91,2.48,0.52
318,0.36,7.43,4.90,2.46,6.66
319,1.14,12.86,3.01,8.21,1.46
320,0.39,0.03,1.41,5.95,1.45
321,1.11,1.96,3.62,8.07,6.36
322,1.37,2.61,0.46,8.50,6.09
323,0.18,11.78,4.85,14.43,3.98
324,0.11,14.48,0.04,5.00,2.68
325,1.95,4.88,2.03,1.42,6.66
326,0.06,16.24,1.45,16.94,0.67
327,3.76,0.97,0.79,13.23,3.45
328,0.18,0.03,1.09,0.04,0.14
329,0.99,0.07,1.25,4.58,7.94
330,0.05,0.29,2.07,22.78,4.33
331,2.77,2.72,0.83,6.22,0.04
332,0.12,5.73,1.54,0.74,0.91
333,1.00,4.08,1.50,7.50,0.82
334,0.13,0.99,1.84,4.05,1.80
335,0.37,3.03,0.78,7.03,12.86
336,1.30,14.56,2.97,0.54,0.53
337,0.23,7.47,1.55,8.50,7.57
338,2.88,0.58,3.81,7.34,0.26
339,1.10,0.94,7.66,12.81,9.26
340,0.57,2.88,2.99,3.39,1.05
341,0.65,1.04,3.69,7.17,3.64
342,0.74,9.57,5.17,10.07,0.94
343,0.43,0.43,1.34,11.97,9.84
344,0.91,0.44,1.36,2.30,2.64
345,0.28,3.52,4.17,11.61,1.67
346,2.84,0.53,0.39,7.73,0.29
347,0.59,2.64,0.56,10.82,2.45
348,1.20,8.16,5.02,11.99,1.96
349,0.84,4.11,3.44,3.11,7.09
350,0.77,0.39,0.87,2.85,1.73
351,0.38,3.06,21.11,8.68,2.73
352,0.24,0.76,6.41,15.12,10.07
353,2.52,3.28,5.68,1.70,21.83
354,0.32,1.56,2.25,2.96,8.64
355,0.04,1.77,0.40,0.56,2.97
356,0.36,6.39,2.36,8.79,1.56
357,2.28,1.24,3.41,1.39,4.68
358,2.99,9.30,2.41,4.80,3.53
359,0.75,2.20,0.25,0.27,1.36
360,1.33,3.22,1.77,19.81,0.96
361,1.73,1.36,1.99,8.22,2.53
362,2.93,0.67,2.20,2.14,5.82
363,2.87,3.60,1.43,1.32,2.84
364,0.59,0.12,3.94,1.06,3.83
365,0.11,5.58,6.14,23.87,0.48
366,0.14,3.76,0.98,4.33,0.52
367,0.06,1.89,1.22,6.20,9.26
368,0.18,0.97,6.85,0.27,2.04
369,0.57,3.02,0.72,9.28,2.56
370,1.20,1.99,2.74,0.14,6.55
371,1.52,6.56,0.69,1.56,0.59
372,0.73,3.71,2.76,9.13,0.91
373,0.27,4.76,1.05,2.19,3.07
374,0.22,2.62,1.19,15.52,9.85
375,0.03,6.63,2.24,25.71,0.62
376,1.33,0.33,0.33,15.94,0.53
377,0.96,0.37,2.03,38.95,3.74
378,2.45,8.57,0.05,2.45,18.98
379,0.40,7.80,1.22,3.57,0.31
380,2.11,6.73,0.99,20.10,1.56
381,1.02,2.82,0.80,0.20,3.22
382,0.08,1.73,4.37,10.94,3.38
383,0.42,6.70,12.74,16.36,2.64
384,0.09,0.76,5.68,0.29,7.11
385,0.39,8.12,0.29,2.34,0.89
386,0.52,7.57,0.39,19.56,1.23
387,0.03,3.30,0.39,5.56,3.04
388,0.15,1.31,3.12,3.48,1.51
389,1.32,2.15,6.90,4.67,3.69
390,0.34,12.09,0.46,0.63,23.34
391,0.61,6.73,2.31,2.15,1.95
392,0.03,1.25,1.17,1.26,7.91
393,0.39,1.78,0.31,12.05,9.86
394,0.16,6.12,1.85,5.66,2.69
395,0.06,1.06,1.10,5.16,4.75
396,0.01,2.80,0.34,5.27,0.30
397,1.42,1.61,2.10,1.65,2.06
398,0.38,4.69,9.23,4.46,1.39
399,0.01,4.71,1.82,0.76,10.47
400,0.59,0.57,1.20,0.60,0.08
401,1.37,0.16,0.48,7.53,0.81
402,2.46,3.18,3.15,2.77,18.70
403,0.20,0.67,1.63,3.47,1.14
404,0.83,1.88,0.24,14.24,7.55
405,1.21,26.40,1.24,2.15,3.01
406,0.13,0.87,1.42,7.08,2.69
407,1.29,3.59,3.24,1.11,5.09
408,0.08,3.38,0.78,7.57,2.21
409,0.69,2.33,9.59,12.85,0.87
410,0.40,1.75,1.60,2.80,3.84
411,0.43,1.66,2.08,5.09,0.64
412,1.22,4.22,0.39,3.48,0.02
413,1.90,6.78,3.97,17.29,1.71
414,1.54,3.92,0.10,2.97,0.34
415,0.97,0.51,1.45,3.65,7.79
416,3.07,1.18,5.65,3.34,1.85
417,0.48,2.53,0.49,1.44,5.42
418,1.34,0.48,1.80,2.35,1.28
419,1.10,1.33,1.73,4.87,7.11
420,0.58,1.26,6.48,6.61,1.59
421,1.54,0.91,1.81,1.56,1.32
422,0.45,0.84,2.37,6.61,8.48
423,0.47,2.77,6.95,2.44,0.81
424,1.66,6.73,1.39,4.03,6.91
425,0.00,5.71,1.71,5.42,3.95
426,0.17,2.35,5.97,2.20,6.63
427,0.23,0.32,0.36,12.37,20.58
428,0.17,1.68,0.96,10.45,1.29
429,0.39,3.11,1.61,10.21,3.75
430,0.33,0.47,0.21,3.04,9.65
431,1.65,2.03,0.38,0.91,0.38
432,1.05,0.55,4.44,11.46,5.74
433,0.26,0.67,3.01,3.76,1.50
434,0.07,1.28,1.11,6.51,0.12
435,0.51,3.21,2.03,10.46,4.05
436,0.37,0.20,1.81,7.03,0.33
437,0.44,4.06,0.84,14.33,0.69
438,1.07,5.44,1.98,10.63,0.86
439,2.39,3.91,1.29,1.91,8.20
440,0.27,2.62,1.58,3.10,0.58
441,0.47,1.06,0.31,8.03,3.78
442,0.25,2.01,1.53,9.78,1.57
443,0.72,0.28,0.57,11.22,5.45
444,0.76,10.80,1.01,9.65,0.24
445,0.96,1.57,4.22,17.83,2.65
446,2.07,1.12,1.20,0.84,6.44
447,1.00,1.42,2.88,1.55,5.56
448,1.35,2.87,0.10,15.76,4.49
449,1.58,3.14,3.06,0.15,10.36
450,1.33,0.36,6.49,0.77,10.43
451,0.97,4.77,7.49,12.96,0.85
452,0.30,0.72,3.27,9.40,12.99
453,0.62,3.71,3.03,16.47,0.02
454,2.94,1.13,0.12,0.17,5.30
455,3.91,6.52,5.59,13.55,0.65
456,0.15,6.69,2.10,12.57,1.32
457,1.52,0.22,1.90,12.09,7.25
458,0.14,2.65,1.44,4.21,1.42
459,0.97,1.81,0.04,24.24,2.40
460,1.10,2.08,0.16,4.59,18.86
461,1.59,2.41,1.24,10.42,3.03
462,0.10,1.44,1.32,5.84,0.85
463,0.28,4.47,1.89,1.66,5.64
464,2.00,1.25,8.86,1.77,3.11
465,0.15,0.01,1.19,16.25,5.22
466,1.85,1.74,0.54,6.08,1.21
467,1.03,0.87,1.17,5.33,10.70
468,0.17,2.71,3.61,10.18,7.82
469,1.01,5.58,1.07,1.28,2.46
470,1.57,2.00,1.50,0.54,1.91
471,0.97,0.72,1.16,11.46,4.69
472,0.45,0.07,1.68,2.28,31.17
473,0.03,9.30,0.85,6.34,0.17
474,0.84,0.19,0.58,7.23,0.23
475,1.87,0.96,1.63,6.03,4.96
476,0.62,1.77,0.81,3.45,0.84
477,0.31,1.03,1.97,1.37,3.07
478,0.83,0.42,1.07,11.22,7.48
479,0.01,5.48,3.12,3.28,12.43
480,0.73,3.88,0.67,9.78,1.78
481,6.73,2.79,1.17,2.50,4.30
482,0.22,2.81,1.19,8.51,5.35
483,1.16,0.49,3.92,1.03,0.67
484,0.36,3.26,9.05,1.98,0.02
485,0.44,4.93,9.29,5.21,12.49
486,0.01,1.53,2.86,2.09,3.89
487,0.03,7.38,4.32,0.34,25.42
488,0.28,4.57,3.48,2.41,10.01
489,3.81,3.78,21.07,3.08,1.56
490,0.15,0.62,0.55,23.92,4.55
491,1.56,5.95,2.38,0.71,0.86
492,0.57,10.24,1.25,12.48,1.11
493,1.18,0.48,0.37,26.00,7.79
494,2.61,1.02,1.53,22.24,14.09
495,0.51,2.45,1.62,2.05,4.50
496,0.78,1.95,4.47,2.70,7.19
497,0.12,0.41,1.00,5.42,3.28
498,0.09,7.64,7.99,0.53,5.73
499,0.20,0.99,2.40,0.29,1.46
500,2.31,1.11,1.26,8.43,0.03
